[22:31:38.022] Namespace(root_path='../data/ACDC/ACDC_training_slices', dataset='ACDC', list_dir='./lists/lists_ACDC', num_classes=4, max_iterations=30000, max_epochs=300, batch_size=24, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, n_skip=3, vit_name='R50-ViT-B_16', vit_patches_size=16, val_interval=0, is_pretrain=True, exp='TU_ACDC224')
[22:31:38.031] 54 iterations per epoch. 16200 max iterations 
[22:32:50.626] epoch 1/300  loss: 0.3737  loss_ce: 0.2089  lr: 0.009971  elapsed: 0.02h
[22:34:05.214] epoch 2/300  loss: 0.2692  loss_ce: 0.0724  lr: 0.009941  elapsed: 0.04h
[22:35:21.445] epoch 3/300  loss: 0.2598  loss_ce: 0.0675  lr: 0.009911  elapsed: 0.06h
[22:36:38.624] epoch 4/300  loss: 0.2512  loss_ce: 0.0629  lr: 0.009880  elapsed: 0.08h
[22:37:55.635] epoch 5/300  loss: 0.2340  loss_ce: 0.0585  lr: 0.009850  elapsed: 0.10h
[22:39:12.294] epoch 6/300  loss: 0.1938  loss_ce: 0.0528  lr: 0.009820  elapsed: 0.13h
[22:40:28.553] epoch 7/300  loss: 0.1312  loss_ce: 0.0422  lr: 0.009790  elapsed: 0.15h
[22:41:44.964] epoch 8/300  loss: 0.0960  loss_ce: 0.0336  lr: 0.009760  elapsed: 0.17h
[22:43:01.628] epoch 9/300  loss: 0.0805  loss_ce: 0.0290  lr: 0.009730  elapsed: 0.19h
[22:44:18.361] epoch 10/300  loss: 0.0705  loss_ce: 0.0264  lr: 0.009700  elapsed: 0.21h
[22:45:34.987] epoch 11/300  loss: 0.0636  loss_ce: 0.0245  lr: 0.009670  elapsed: 0.23h
[22:46:51.484] epoch 12/300  loss: 0.0565  loss_ce: 0.0222  lr: 0.009640  elapsed: 0.25h
[22:48:08.052] epoch 13/300  loss: 0.0528  loss_ce: 0.0210  lr: 0.009610  elapsed: 0.28h
[22:49:24.750] epoch 14/300  loss: 0.0502  loss_ce: 0.0202  lr: 0.009580  elapsed: 0.30h
[22:50:41.393] epoch 15/300  loss: 0.0482  loss_ce: 0.0197  lr: 0.009549  elapsed: 0.32h
[22:51:57.965] epoch 16/300  loss: 0.0452  loss_ce: 0.0185  lr: 0.009519  elapsed: 0.34h
[22:53:14.501] epoch 17/300  loss: 0.0426  loss_ce: 0.0174  lr: 0.009489  elapsed: 0.36h
[22:54:31.028] epoch 18/300  loss: 0.0413  loss_ce: 0.0170  lr: 0.009459  elapsed: 0.38h
[22:55:47.581] epoch 19/300  loss: 0.0414  loss_ce: 0.0170  lr: 0.009429  elapsed: 0.40h
[22:57:04.092] epoch 20/300  loss: 0.0393  loss_ce: 0.0162  lr: 0.009399  elapsed: 0.42h
[22:58:20.626] epoch 21/300  loss: 0.0381  loss_ce: 0.0156  lr: 0.009368  elapsed: 0.45h
[22:59:37.115] epoch 22/300  loss: 0.0379  loss_ce: 0.0158  lr: 0.009338  elapsed: 0.47h
[23:00:53.592] epoch 23/300  loss: 0.0379  loss_ce: 0.0156  lr: 0.009308  elapsed: 0.49h
[23:02:10.047] epoch 24/300  loss: 0.0359  loss_ce: 0.0148  lr: 0.009278  elapsed: 0.51h
[23:03:26.489] epoch 25/300  loss: 0.0349  loss_ce: 0.0143  lr: 0.009247  elapsed: 0.53h
